[1.6764,	 0.4802, 	 0.0]	 id=72
[2.3271,	 0.180, 	 0.0]	 id=73
[2.5426,	 2.4817, 	 0.0]	 id=74
[0.6543,	 0.4809, 	 0.0]	 id=75
[0.9706,	 -1.4175, 	 0.0]	 id=76
[0.9606,	 0.98, 	 0.0]	 id=77
[0.4317,	 0.446, 	 0.0]	 id=78
[0.2439,	 0.7803, 	 0.0]	 id=79
[0.1497,	 0.1364, 	 0.0]	 id=80
[1.4740,	 0.7201, 	 0.0]	 id=81
[2.1269,	 0.3818, 	 0.0]	 id=82
[1.5275,	 0.4752, 	 0.0]	 id=83
[1.2072,	 0.5818, 	 0.0]	 id=84
[0.4870,	 0.837, 	 0.0]	 id=85
[0.1940,	 0.805, 	 0.0]	 id=86
[0.3049,	 0.860, 	 0.0]	 id=87
[0.865,	 0.1566, 	 0.0]	 id=88
[0.1808,	 0.56, 	 0.0]	 id=89
[0.53,	 0.830, 	 0.0]	 id=90
[0.897,	 0.1416, 	 0.0]	 id=91
[0.1326,	 0.1464, 	 0.0]	 id=92
[0.306,	 0.1344, 	 0.0]	 id=93
[0.806,	 0.416, 	 0.0]	 id=94
[0.1612,	 0.297, 	 0.0]	 id=95
[0.624,	 0.322, 	 0.0]	 id=96
[0.134,	 0.1112, 	 0.0]	 id=97
[0.625,	 0.921, 	 0.0]	 id=98
[0.640,	 0.1524, 	 0.0]	 id=99
[0.1502,	 0.129, 	 0.0]	 id=100
[0.1549,	 0.2371, 	 0.0]	 id=101
[0.18,	 0.1481, 	 0.0]	 id=102
[0.576,	 0.1077, 	 0.0]	 id=103
[0.97,	 0.694, 	 0.0]	 id=104
[0.1443,	 0.798, 	 0.0]	 id=105
[0.1709,	 0.2123, 	 0.0]	 id=106
[0.2683,	 0.116, 	 0.0]	 id=107
[0.728,	 0.543, 	 0.0]	 id=108
[0.1437,	 0.1398, 	 0.0]	 id=109
[0.2272,	 0.1677, 	 0.0]	 id=110
[0.2606,	 0.37, 	 0.0]	 id=111
[0.1042,	 0.1578, 	 0.0]	 id=112
[0.90,	 0.1385, 	 0.0]	 id=113
[0.1144,	 0.1577, 	 0.0]	 id=114
[0.1298,	 0.2602, 	 0.0]	 id=115
