i,markerID,RotX,RotY,RotZ,FrameID
1,24.0,0.015458172179125644,-0.0013226028289435108,-0.014063965248545082,1501.0
2,24.0,0.015458172179125644,-0.0013226028289435108,-0.014063965248545082,1502.0
3,24.0,0.015458172179125644,-0.0013226028289435108,-0.014063965248545082,1503.0
4,24.0,0.0,-0.0,0.0,1504.0
5,24.0,0.008410629177290576,-0.00138238896927095,-0.0073920565748414845,1505.0
6,24.0,0.015458172179125644,-0.0013226028289435108,-0.014063965248545082,1506.0
7,24.0,0.015458172179125644,-0.0013226028289435108,-0.014063965248545082,1507.0
8,24.0,0.0,-0.0,0.0,1508.0
9,24.0,0.0,-0.0,0.0,1509.0
10,24.0,0.017110752846721266,-0.0007018651174904334,-0.021700899274100297,1510.0
11,24.0,0.014670153367894428,0.006832654099431005,-0.013913187123432537,1511.0
12,24.0,0.0,-0.0,0.0,1512.0
13,24.0,0.017110752846721266,-0.0007018651174904334,-0.021700899274100297,1513.0
14,24.0,0.017110752846721266,-0.0007018651174904334,-0.021700899274100297,1514.0
15,24.0,0.013021060870933495,0.0062391090141524965,-0.0063862265714108345,1515.0
16,24.0,0.017110752846721266,-0.0007018651174904334,-0.021700899274100297,1516.0
17,24.0,0.007687164151502425,-0.0007523707290289134,-0.006773487971292108,1517.0
18,24.0,0.017110752846721266,-0.0007018651174904334,-0.021700899274100297,1518.0
19,24.0,0.008786657624251152,-0.006259373991708281,0.0007434322008717857,1519.0
20,24.0,0.007687164151502425,-0.0007523707290289134,-0.006773487971292108,1520.0
21,24.0,0.007687164151502425,-0.0007523707290289134,-0.006773487971292108,1521.0
22,24.0,0.0009990596203064757,-0.005419877866132108,0.007505348215287181,1522.0
23,24.0,0.0009990596203064757,-0.005419877866132108,0.007505348215287181,1523.0
24,24.0,0.010544635084898652,-0.005764839282595855,-0.0068401726466579904,1524.0
25,24.0,0.010544635084898652,-0.005764839282595855,-0.0068401726466579904,1525.0
26,24.0,0.008786657624251152,-0.006259373991708281,0.0007434322008717857,1526.0
27,24.0,0.007613308442774263,-0.0003922968422966315,-0.0072493413462574674,1527.0
28,24.0,0.010470217786178413,-0.005403615971113022,-0.007316543063812452,1528.0
29,24.0,0.010470217786178413,-0.005403615971113022,-0.007316543063812452,1529.0
30,24.0,0.008715960326198494,-0.005899261555112493,0.00026489376915615206,1530.0
31,24.0,0.0008154371796114499,-0.004830854648744143,0.006906153210922796,1531.0
32,24.0,0.0019101000155691706,-0.0036280350616545404,-0.0003447400950890401,1532.0
33,24.0,0.004711684136744564,-0.008653274838251863,-0.0003131742978362907,1533.0
34,24.0,0.0018408376703980462,-0.0032691275273167694,-0.000822603055174625,1534.0
35,24.0,0.0006837715132095733,-0.004114580797690722,0.005946255238303375,1535.0
36,24.0,0.0006179982213699221,-0.003756634575701617,0.005465805462027028,1536.0
37,24.0,0.0033181903635120624,-0.008418536397615828,0.00509761602901308,1537.0
38,24.0,0.004363434705551076,-0.006854411905410543,-0.0027087907142512896,1538.0
39,24.0,0.002514626566641393,-0.006926377868065815,0.004346897787856166,1539.0
40,24.0,0.00422450122336419,-0.006135815413758236,-0.003669372246258137,1540.0
41,24.0,0.004155125453342707,-0.005776729254928482,-0.004150153036863697,1541.0
42,24.0,0.005414444913322017,-0.013976632688019144,-0.005345883925850987,1542.0
43,24.0,0.005344946073234377,-0.013616416551943693,-0.005827326878389729,1543.0
44,24.0,-0.0006052108410724247,-0.013759364899757874,0.00884291820244312,1544.0
45,24.0,0.0051369260253813,-0.012536690740997529,-0.007273577919145409,1545.0
46,24.0,0.005023652221209599,-0.00919271294091698,-0.00014719470253842654,1546.0
47,24.0,0.004840085822635155,-0.008600891066977548,-0.0007384545521124864,1547.0
48,24.0,0.004774586935679381,-0.008243007853446581,-0.001224805369558683,1548.0
49,24.0,0.0067281171803389725,-0.0075183839050758944,-0.010049901845988118,1549.0
50,24.0,0.008105947094816376,-0.010830266433540757,-0.00967495704668939,1550.0
51,24.0,0.0038638987165086854,-0.0033726582382113787,0.005090318827754847,1551.0
52,24.0,0.004448612116354405,-0.006456129124821487,-0.003660893697098549,1552.0
53,24.0,0.012650394534395872,-0.004203179812062489,-0.0037400443000430595,1553.0
54,24.0,0.02482679763200118,-0.008602556174064368,-0.019556039648477852,1554.0
55,24.0,0.01074576841623417,-0.0033860385283432863,0.001558212672590958,1555.0
56,24.0,0.02036699810068185,-0.0029589703997906663,-0.014392423235110408,1556.0
57,24.0,0.020226364442625502,-0.0022431511642623356,-0.015376495909101427,1557.0
58,24.0,0.025320159155055384,0.008524538817563307,-0.007531608757115556,1558.0
59,24.0,0.028361110585519142,0.0011015887566137056,-0.017018644031222663,1559.0
60,24.0,0.017970356883100974,-0.0002333812589300092,-0.011118338346525033,1560.0
61,24.0,0.017625531398996613,0.003530344449962491,-0.0036843192619171014,1561.0
62,24.0,0.026086894575635598,0.0030800642891242788,-0.012703570025910748,1562.0
63,24.0,0.022920959280074767,0.009244392520054821,-0.01427031535345471,1563.0
64,24.0,0.02258100516356682,0.01333517654397057,-0.0073615623771339555,1564.0
65,24.0,0.034023962406366494,0.00781313477426372,-0.01630188642851725,1565.0
66,24.0,0.02352928769709127,0.006847431533789996,-0.01098514537339557,1566.0
67,24.0,0.026319318093796833,0.0027648945147838427,-0.012345208534885172,1567.0
68,24.0,0.026084668780132075,0.004166999785967715,-0.014365060454419485,1568.0
69,24.0,0.025911015369202085,0.005216004394840928,-0.01588142256194465,1569.0
70,24.0,0.02687938916312644,0.0006771907534793415,-0.009416284276599712,1570.0
71,24.0,0.0266126362143506,0.005131220336063179,-0.003646799851676954,1571.0
72,24.0,0.026420634673281065,0.006512008044031804,-0.00569271039176999,1572.0
73,24.0,0.02627923786344544,0.0075448706819409425,-0.007227923419537747,1573.0
74,24.0,0.026094269842138963,0.008918333548329573,-0.009275740909186612,1574.0
75,24.0,0.02591346929578548,0.010287528740612423,-0.01132435034443961,1575.0
76,24.0,0.02749592117357237,0.005342479977873491,-0.005478125262281243,1576.0
77,24.0,0.029643045788762732,0.0019278348871383413,-0.006399060079623721,1577.0
78,24.0,0.03566221053384133,0.0018848871237373455,-0.007444620664087171,1578.0
79,24.0,0.037405748038331764,0.00665213193805324,-0.009494901827235527,1579.0
80,24.0,0.038441228770975486,-0.0007132124552141893,-0.011170058959033839,1580.0
81,24.0,0.029206324968656525,0.0056490338807018686,0.002181078190888198,1581.0
