,markerID,tx,ty,tz,frameID
0,,,,,
1,24.0,[-0.2950868],[0.2694846],[0.98822774],1501.0
2,24.0,[-0.2950868],[0.2694846],[0.98822774],1502.0
3,24.0,[-0.2950868],[0.2694846],[0.98822774],1503.0
4,24.0,[0.],[0.],[0.],1504.0
5,24.0,[-0.2376269],[0.1916049],[0.60758752],1505.0
6,24.0,[-0.2950868],[0.2694846],[0.98822774],1506.0
7,24.0,[-0.2950868],[0.2694846],[0.98822774],1507.0
8,24.0,[0.],[0.],[0.],1508.0
9,24.0,[0.],[0.],[0.],1509.0
10,24.0,[-0.48228947],[0.39690215],[1.45158989],1510.0
11,24.0,[-0.31458784],[0.30892989],[1.04299215],1511.0
12,24.0,[0.],[0.],[0.],1512.0
13,24.0,[-0.48228947],[0.39690215],[1.45158989],1513.0
14,24.0,[-0.48228947],[0.39690215],[1.45158989],1514.0
15,24.0,[-0.1268359],[0.18093495],[0.57766369],1515.0
16,24.0,[-0.48228947],[0.39690215],[1.45158989],1516.0
17,24.0,[-0.14362768],[0.10749262],[0.48440499],1517.0
18,24.0,[-0.48228947],[0.39690215],[1.45158989],1518.0
19,24.0,[-0.16915871],[0.16637378],[0.70418318],1519.0
20,24.0,[-0.14362768],[0.10749262],[0.48440499],1520.0
21,24.0,[-0.14362768],[0.10749262],[0.48440499],1521.0
22,24.0,[-0.02283161],[0.05664932],[0.21152357],1522.0
23,24.0,[-0.02283161],[0.05664932],[0.21152357],1523.0
24,24.0,[-0.36083262],[0.29731759],[1.18072656],1524.0
25,24.0,[-0.36083262],[0.29731759],[1.18072656],1525.0
26,24.0,[-0.16915871],[0.16637378],[0.70418318],1526.0
27,24.0,[-0.03978676],[0.1018183],[0.47238014],1527.0
28,24.0,[-0.25662033],[0.29162374],[1.16866123],1528.0
29,24.0,[-0.25662033],[0.29162374],[1.16866123],1529.0
30,24.0,[-0.06523736],[0.16071591],[0.69222634],1530.0
31,24.0,[0.19347303],[-0.00989484],[0.16508726],1531.0
32,24.0,[0.0865713],[0.09269555],[0.54268138],1532.0
33,24.0,[-0.12874892],[0.28163973],[1.23621419],1533.0
34,24.0,[0.19037708],[0.08703927],[0.53070587],1534.0
35,24.0,[0.40059841],[-0.02113611],[0.14136104],1535.0
36,24.0,[0.5041192],[-0.02675115],[0.1295108],1536.0
37,24.0,[0.39529767],[0.15519528],[0.80624166],1537.0
